BenchmarkTable Execution Times
Loading required package: tcltk
    scenario    magnitude unit weight weighted_magnitude      AllParameters
99        20  39889769348   ns      1        39889769348 n=180000\ntype=GPU
100       20  39914470918   ns      1        39914470918 n=180000\ntype=GPU
101       21  96160622232   ns      1        96160622232 n=200000\ntype=CPU
102       21  96176508808   ns      1        96176508808 n=200000\ntype=CPU
103       21  96086880069   ns      1        96086880069 n=200000\ntype=CPU
104       21  94010144453   ns      1        94010144453 n=200000\ntype=CPU
105       21  95977144540   ns      1        95977144540 n=200000\ntype=CPU
106       22  42069839834   ns      1        42069839834 n=200000\ntype=GPU
107       22  43942013458   ns      1        43942013458 n=200000\ntype=GPU
108       22  43895180066   ns      1        43895180066 n=200000\ntype=GPU
109       22  44010556581   ns      1        44010556581 n=200000\ntype=GPU
110       22  43916021777   ns      1        43916021777 n=200000\ntype=GPU
111       23 103689906815   ns      1       103689906815 n=220000\ntype=CPU
112       23 104135184559   ns      1       104135184559 n=220000\ntype=CPU
113       23 104054116517   ns      1       104054116517 n=220000\ntype=CPU
114       23 104001294861   ns      1       104001294861 n=220000\ntype=CPU
115       23 103991315880   ns      1       103991315880 n=220000\ntype=CPU
116       24  48053621616   ns      1        48053621616 n=220000\ntype=GPU
117       24  48095634298   ns      1        48095634298 n=220000\ntype=GPU
118       24  47950877926   ns      1        47950877926 n=220000\ntype=GPU
119       24  47889362239   ns      1        47889362239 n=220000\ntype=GPU
120       24  48373513688   ns      1        48373513688 n=220000\ntype=GPU
121       25 112144460216   ns      1       112144460216 n=240000\ntype=CPU
122       25 114159054182   ns      1       114159054182 n=240000\ntype=CPU
123       25 114024530083   ns      1       114024530083 n=240000\ntype=CPU
124       25 112038347690   ns      1       112038347690 n=240000\ntype=CPU
125       25 113982980501   ns      1       113982980501 n=240000\ntype=CPU
126       26  52133575827   ns      1        52133575827 n=240000\ntype=GPU
127       26  51984992069   ns      1        51984992069 n=240000\ntype=GPU
128       26  52079256817   ns      1        52079256817 n=240000\ntype=GPU
129       26  51967910501   ns      1        51967910501 n=240000\ntype=GPU
130       26  52122370450   ns      1        52122370450 n=240000\ntype=GPU
131       27 122174860421   ns      1       122174860421 n=260000\ntype=CPU
132       27 121655854253   ns      1       121655854253 n=260000\ntype=CPU
133       27 122125914671   ns      1       122125914671 n=260000\ntype=CPU
134       27 122003602331   ns      1       122003602331 n=260000\ntype=CPU
135       27 121979172272   ns      1       121979172272 n=260000\ntype=CPU
136       28  56066178268   ns      1        56066178268 n=260000\ntype=GPU
137       28  54055222830   ns      1        54055222830 n=260000\ntype=GPU
138       28  53952266763   ns      1        53952266763 n=260000\ntype=GPU
139       28  55921116294   ns      1        55921116294 n=260000\ntype=GPU
140       28  53984689131   ns      1        53984689131 n=260000\ntype=GPU
141       29 132222335512   ns      1       132222335512 n=280000\ntype=CPU
142       29 129749839100   ns      1       129749839100 n=280000\ntype=CPU
143       29 130048924770   ns      1       130048924770 n=280000\ntype=CPU
144       29 130302550906   ns      1       130302550906 n=280000\ntype=CPU
145       29 131018659375   ns      1       131018659375 n=280000\ntype=CPU
146       30  60103700213   ns      1        60103700213 n=280000\ntype=GPU
147       30  60049651033   ns      1        60049651033 n=280000\ntype=GPU
148       30  59960925443   ns      1        59960925443 n=280000\ntype=GPU
149       30  59939895914   ns      1        59939895914 n=280000\ntype=GPU
150       30  57942364945   ns      1        57942364945 n=280000\ntype=GPU
151       31 140171720138   ns      1       140171720138 n=300000\ntype=CPU
152       31 139749197792   ns      1       139749197792 n=300000\ntype=CPU
153       31 140089492545   ns      1       140089492545 n=300000\ntype=CPU
154       31 140082686300   ns      1       140082686300 n=300000\ntype=CPU
155       31 140021426388   ns      1       140021426388 n=300000\ntype=CPU
156       31 140261380717   ns      1       140261380717 n=300000\ntype=CPU
157       31 140203833601   ns      1       140203833601 n=300000\ntype=CPU
158       31 139669316612   ns      1       139669316612 n=300000\ntype=CPU
159       31 140171412086   ns      1       140171412086 n=300000\ntype=CPU
160       31 140034095224   ns      1       140034095224 n=300000\ntype=CPU
161       32  64130786811   ns      1        64130786811 n=300000\ntype=GPU
162       32  62120174410   ns      1        62120174410 n=300000\ntype=GPU
163       32  61978932122   ns      1        61978932122 n=300000\ntype=GPU
164       32  63979196761   ns      1        63979196761 n=300000\ntype=GPU
165       32  61993225722   ns      1        61993225722 n=300000\ntype=GPU
166       32  61708966842   ns      1        61708966842 n=300000\ntype=GPU
167       32  62091881520   ns      1        62091881520 n=300000\ntype=GPU
168       32  61987347528   ns      1        61987347528 n=300000\ntype=GPU
169       32  63949467461   ns      1        63949467461 n=300000\ntype=GPU
170       32  62479687146   ns      1        62479687146 n=300000\ntype=GPU
171       33 149788417877   ns      1       149788417877 n=320000\ntype=CPU
172       33 148220414928   ns      1       148220414928 n=320000\ntype=CPU
173       33 148153045407   ns      1       148153045407 n=320000\ntype=CPU
174       33 148110289838   ns      1       148110289838 n=320000\ntype=CPU
175       33 148064638857   ns      1       148064638857 n=320000\ntype=CPU
176       34  67658306747   ns      1        67658306747 n=320000\ntype=GPU
177       34  66046152706   ns      1        66046152706 n=320000\ntype=GPU
178       34  66020495967   ns      1        66020495967 n=320000\ntype=GPU
179       34  66361263196   ns      1        66361263196 n=320000\ntype=GPU
180       34  68012327908   ns      1        68012327908 n=320000\ntype=GPU
181       35 158315310164   ns      1       158315310164 n=340000\ntype=CPU
182       35 157769806923   ns      1       157769806923 n=340000\ntype=CPU
183       35 158177896482   ns      1       158177896482 n=340000\ntype=CPU
184       35 158154018126   ns      1       158154018126 n=340000\ntype=CPU
185       35 158116265455   ns      1       158116265455 n=340000\ntype=CPU
186       36  69654079276   ns      1        69654079276 n=340000\ntype=GPU
187       36  70071026023   ns      1        70071026023 n=340000\ntype=GPU
188       36  70024437258   ns      1        70024437258 n=340000\ntype=GPU
189       36  70059988879   ns      1        70059988879 n=340000\ntype=GPU
190       36  69924203060   ns      1        69924203060 n=340000\ntype=GPU
191       37 165703600352   ns      1       165703600352 n=360000\ntype=CPU
192       37 166359491598   ns      1       166359491598 n=360000\ntype=CPU
193       37 167755025778   ns      1       167755025778 n=360000\ntype=CPU
194       37 166172118549   ns      1       166172118549 n=360000\ntype=CPU
195       37 166590356011   ns      1       166590356011 n=360000\ntype=CPU
196       38  74140665777   ns      1        74140665777 n=360000\ntype=GPU
197       38  74120828444   ns      1        74120828444 n=360000\ntype=GPU
198       38  74031634689   ns      1        74031634689 n=360000\ntype=GPU
199       38  74069295489   ns      1        74069295489 n=360000\ntype=GPU
200       38  73933823881   ns      1        73933823881 n=360000\ntype=GPU
201       39 176312222366   ns      1       176312222366 n=380000\ntype=CPU
202       39 175765996561   ns      1       175765996561 n=380000\ntype=CPU
203       39 176204410921   ns      1       176204410921 n=380000\ntype=CPU
204       39 176154370922   ns      1       176154370922 n=380000\ntype=CPU
205       39 176100401209   ns      1       176100401209 n=380000\ntype=CPU
206       40  77676461034   ns      1        77676461034 n=380000\ntype=GPU
207       40  78119811144   ns      1        78119811144 n=380000\ntype=GPU
208       40  76013986878   ns      1        76013986878 n=380000\ntype=GPU
209       40  80092336498   ns      1        80092336498 n=380000\ntype=GPU
210       40  77931533323   ns      1        77931533323 n=380000\ntype=GPU
211       41 185837576724   ns      1       185837576724 n=400000\ntype=CPU
212       41 183931799843   ns      1       183931799843 n=400000\ntype=CPU
213       41 184146605032   ns      1       184146605032 n=400000\ntype=CPU
214       41 184207835600   ns      1       184207835600 n=400000\ntype=CPU
215       41 184094558162   ns      1       184094558162 n=400000\ntype=CPU
216       42  82200233139   ns      1        82200233139 n=400000\ntype=GPU
217       42  84117556803   ns      1        84117556803 n=400000\ntype=GPU
218       42  82033937840   ns      1        82033937840 n=400000\ntype=GPU
219       42  82055185487   ns      1        82055185487 n=400000\ntype=GPU
220       42  81964610632   ns      1        81964610632 n=400000\ntype=GPU
221       43 194351789692   ns      1       194351789692 n=420000\ntype=CPU
222       43 193839006823   ns      1       193839006823 n=420000\ntype=CPU
223       43 194208188420   ns      1       194208188420 n=420000\ntype=CPU
224       43 194214710477   ns      1       194214710477 n=420000\ntype=CPU
225       43 193663121737   ns      1       193663121737 n=420000\ntype=CPU
226       44  88213792264   ns      1        88213792264 n=420000\ntype=GPU
227       44  85718915010   ns      1        85718915010 n=420000\ntype=GPU
228       44  84083674393   ns      1        84083674393 n=420000\ntype=GPU
229       44  86030400342   ns      1        86030400342 n=420000\ntype=GPU
230       44  88177929727   ns      1        88177929727 n=420000\ntype=GPU
231       45 202379135543   ns      1       202379135543 n=440000\ntype=CPU
232       45 203923961061   ns      1       203923961061 n=440000\ntype=CPU
233       45 201777949135   ns      1       201777949135 n=440000\ntype=CPU
234       45 202256826831   ns      1       202256826831 n=440000\ntype=CPU
235       45 202118315425   ns      1       202118315425 n=440000\ntype=CPU
236       46  89679116523   ns      1        89679116523 n=440000\ntype=GPU
237       46  90161415262   ns      1        90161415262 n=440000\ntype=GPU
238       46  90057569941   ns      1        90057569941 n=440000\ntype=GPU
239       46  90055131824   ns      1        90055131824 n=440000\ntype=GPU
240       46  89956377109   ns      1        89956377109 n=440000\ntype=GPU
241       47 212434476671   ns      1       212434476671 n=460000\ntype=CPU
242       47 211893585785   ns      1       211893585785 n=460000\ntype=CPU
243       47 212173473556   ns      1       212173473556 n=460000\ntype=CPU
244       47 211776953450   ns      1       211776953450 n=460000\ntype=CPU
245       47 212209415378   ns      1       212209415378 n=460000\ntype=CPU
246       48  93723897186   ns      1        93723897186 n=460000\ntype=GPU
247       48  94161531381   ns      1        94161531381 n=460000\ntype=GPU
248       48  94071886780   ns      1        94071886780 n=460000\ntype=GPU
249       48  92048636488   ns      1        92048636488 n=460000\ntype=GPU
250       48  93992604962   ns      1        93992604962 n=460000\ntype=GPU
251       49 221927377434   ns      1       221927377434 n=480000\ntype=CPU
252       49 221886271242   ns      1       221886271242 n=480000\ntype=CPU
253       49 222253971916   ns      1       222253971916 n=480000\ntype=CPU
254       49 220757135959   ns      1       220757135959 n=480000\ntype=CPU
255       49 220153216967   ns      1       220153216967 n=480000\ntype=CPU
256       50  95742536317   ns      1        95742536317 n=480000\ntype=GPU
257       50  95930387472   ns      1        95930387472 n=480000\ntype=GPU
258       50  96098655371   ns      1        96098655371 n=480000\ntype=GPU
259       50  96066393747   ns      1        96066393747 n=480000\ntype=GPU
260       50  95960906122   ns      1        95960906122 n=480000\ntype=GPU
