BenchmarkTable Execution Times
Loading required package: tcltk
    scenario   magnitude unit weight weighted_magnitude      AllParameters
99        21 30376477787   ns      1        30376477787 n=200000\ntype=CPU
100       22  8353307944   ns      1         8353307944 n=200000\ntype=GPU
101       22  7856102252   ns      1         7856102252 n=200000\ntype=GPU
102       22  7866943448   ns      1         7866943448 n=200000\ntype=GPU
103       23 30861229378   ns      1        30861229378 n=220000\ntype=CPU
104       23 29980594589   ns      1        29980594589 n=220000\ntype=CPU
105       23 34097322588   ns      1        34097322588 n=220000\ntype=CPU
106       24  8332690099   ns      1         8332690099 n=220000\ntype=GPU
107       24  7815468653   ns      1         7815468653 n=220000\ntype=GPU
108       24  7869291259   ns      1         7869291259 n=220000\ntype=GPU
109       24  8357730162   ns      1         8357730162 n=220000\ntype=GPU
110       24  7862284600   ns      1         7862284600 n=220000\ntype=GPU
111       25 31126232462   ns      1        31126232462 n=240000\ntype=CPU
112       25 31943761133   ns      1        31943761133 n=240000\ntype=CPU
113       25 38456764049   ns      1        38456764049 n=240000\ntype=CPU
114       25 31923815072   ns      1        31923815072 n=240000\ntype=CPU
115       26  7850299908   ns      1         7850299908 n=240000\ntype=GPU
116       26  8075389630   ns      1         8075389630 n=240000\ntype=GPU
117       26  7859499046   ns      1         7859499046 n=240000\ntype=GPU
118       26  7848633754   ns      1         7848633754 n=240000\ntype=GPU
119       26  8416267796   ns      1         8416267796 n=240000\ntype=GPU
120       27 37805490427   ns      1        37805490427 n=260000\ntype=CPU
121       27 37914626301   ns      1        37914626301 n=260000\ntype=CPU
122       27 32304197550   ns      1        32304197550 n=260000\ntype=CPU
123       27 34107386375   ns      1        34107386375 n=260000\ntype=CPU
124       27 41690307667   ns      1        41690307667 n=260000\ntype=CPU
125       28  9665550606   ns      1         9665550606 n=260000\ntype=GPU
126       28  9796358041   ns      1         9796358041 n=260000\ntype=GPU
127       28  9870634953   ns      1         9870634953 n=260000\ntype=GPU
128       29 36529576445   ns      1        36529576445 n=280000\ntype=CPU
129       29 33675674355   ns      1        33675674355 n=280000\ntype=CPU
130       29 43930813904   ns      1        43930813904 n=280000\ntype=CPU
131       29 38197938732   ns      1        38197938732 n=280000\ntype=CPU
132       30  9875518084   ns      1         9875518084 n=280000\ntype=GPU
133       30  9949938929   ns      1         9949938929 n=280000\ntype=GPU
134       30 10312558318   ns      1        10312558318 n=280000\ntype=GPU
135       30  9896072701   ns      1         9896072701 n=280000\ntype=GPU
136       30  9875885625   ns      1         9875885625 n=280000\ntype=GPU
137       31 39651021729   ns      1        39651021729 n=300000\ntype=CPU
138       31 36151654402   ns      1        36151654402 n=300000\ntype=CPU
139       31 42096875573   ns      1        42096875573 n=300000\ntype=CPU
140       31 45277705584   ns      1        45277705584 n=300000\ntype=CPU
141       31 38454058509   ns      1        38454058509 n=300000\ntype=CPU
142       31 39870432813   ns      1        39870432813 n=300000\ntype=CPU
143       31 38612509671   ns      1        38612509671 n=300000\ntype=CPU
144       31 34013607592   ns      1        34013607592 n=300000\ntype=CPU
145       31 36048327724   ns      1        36048327724 n=300000\ntype=CPU
146       31 42414059693   ns      1        42414059693 n=300000\ntype=CPU
147       32 10161335512   ns      1        10161335512 n=300000\ntype=GPU
148       32  9821179994   ns      1         9821179994 n=300000\ntype=GPU
149       32 10377995944   ns      1        10377995944 n=300000\ntype=GPU
150       32  9895273594   ns      1         9895273594 n=300000\ntype=GPU
151       32  9824553287   ns      1         9824553287 n=300000\ntype=GPU
152       32  9891474789   ns      1         9891474789 n=300000\ntype=GPU
153       32  9818269558   ns      1         9818269558 n=300000\ntype=GPU
154       32  9824039189   ns      1         9824039189 n=300000\ntype=GPU
155       33 42233881962   ns      1        42233881962 n=320000\ntype=CPU
156       33 39151018300   ns      1        39151018300 n=320000\ntype=CPU
157       33 35680887640   ns      1        35680887640 n=320000\ntype=CPU
158       33 46043778678   ns      1        46043778678 n=320000\ntype=CPU
159       33 34406436285   ns      1        34406436285 n=320000\ntype=CPU
160       34  9913933805   ns      1         9913933805 n=320000\ntype=GPU
161       34  9880168358   ns      1         9880168358 n=320000\ntype=GPU
162       34  9855999343   ns      1         9855999343 n=320000\ntype=GPU
163       34  9825864641   ns      1         9825864641 n=320000\ntype=GPU
164       35 46221067201   ns      1        46221067201 n=340000\ntype=CPU
165       35 41902409102   ns      1        41902409102 n=340000\ntype=CPU
166       35 42046616542   ns      1        42046616542 n=340000\ntype=CPU
167       35 35936823566   ns      1        35936823566 n=340000\ntype=CPU
168       35 38250041292   ns      1        38250041292 n=340000\ntype=CPU
169       36  9865516622   ns      1         9865516622 n=340000\ntype=GPU
170       36  9921041592   ns      1         9921041592 n=340000\ntype=GPU
171       36 10321774648   ns      1        10321774648 n=340000\ntype=GPU
172       36  9887796211   ns      1         9887796211 n=340000\ntype=GPU
173       36  9808281957   ns      1         9808281957 n=340000\ntype=GPU
174       37 44089601456   ns      1        44089601456 n=360000\ntype=CPU
175       37 42281604508   ns      1        42281604508 n=360000\ntype=CPU
176       37 42033557303   ns      1        42033557303 n=360000\ntype=CPU
177       37 42367790095   ns      1        42367790095 n=360000\ntype=CPU
178       37 42623324728   ns      1        42623324728 n=360000\ntype=CPU
179       38  9913916072   ns      1         9913916072 n=360000\ntype=GPU
180       38  9827730465   ns      1         9827730465 n=360000\ntype=GPU
181       38  9877795207   ns      1         9877795207 n=360000\ntype=GPU
182       38 12364540094   ns      1        12364540094 n=360000\ntype=GPU
183       38  9842714889   ns      1         9842714889 n=360000\ntype=GPU
184       39 45126026025   ns      1        45126026025 n=380000\ntype=CPU
185       39 48610122776   ns      1        48610122776 n=380000\ntype=CPU
186       39 44774963517   ns      1        44774963517 n=380000\ntype=CPU
187       39 42036742092   ns      1        42036742092 n=380000\ntype=CPU
188       39 45905086165   ns      1        45905086165 n=380000\ntype=CPU
189       40  9861888997   ns      1         9861888997 n=380000\ntype=GPU
